Antibiotic,AWaRe,CDI,Toxicity,UTI,Oral,IV,Cost
Abelfenide,Reserve,Low,Low,No,Yes,Yes,High
Acetemran,Watch,Low,Low,Yes,Yes,No,Low
Adenomadin,Access,High,Low,No,Yes,Yes,Low
Adrevenac,Watch,High,Low,No,No,Yes,High
Amrodine,Reserve,High,Low,No,No,Yes,High
Choriotroban,Access,Low,High,No,No,Yes,Low
Cormide,Watch,Low,Low,No,No,Yes,High
Decloxone,Watch,Low,High,No,No,Yes,High
Dexaset,Access,Low,Low,No,Yes,Yes,Low
Endoxolol,Access,Low,Low,Yes,Yes,No,Low
Olanzasys,Watch,High,Low,No,No,Yes,Low
Pansolid,Access,Low,Low,No,Yes,No,Low
Protestryl,Watch,High,Low,No,Yes,Yes,Low
